Date,Odoo ID,Site ,Task Description,Priority,Assigned Tech,planned Date,Estimated Hours,Required Parts/Tools,Status,Technician note,,,,,,,,,
19-Feb-26,T2596,Workshop,Eureka,Normal,Abu Baker,22-Feb-26,1,,Done,,,,,,,,,,
21-Feb-26,T2607,Workshop,Fellow ODE 1,Normal,Abu Baker,22-Feb-26,0.75,,Done,,,,,,,,,,
18-Feb-26,T2584,Workshop,Kalerm B5,Normal,Abu Baker,22-Feb-26,0.75,,Done,,,,,,,,,,
18-Feb-26,T2580,Workshop,Kalerm A5,Normal,Abu Baker,22-Feb-26,0.75,,Done,,,,,,,,,,
20-Feb-26,T2598,Workshop,Kalerm B5,Normal,Abu Baker,22-Feb-26,0.75,,Done,,,,,,,,,,
21-Feb-26,T2604,Workshop,Kalerm B3-2,Normal,Abu Baker,22-Feb-26,0.75,,Done,,,,,,,,,,
21-Feb-26,T2606,Workshop,Kalerm B5,Normal,Abu Baker,22-Feb-26,0.75,,Done,,,,,,,,,,
21-Feb-26,T2610,Workshop,Kalerm B5,Normal,Abu Baker,22-Feb-26,0.75,,Done,,,,,,,,,,Done
21-Feb-26,T2609,Workshop,Wacaco PIXA,Normal,Robin,22-Feb-26,0.75,,Done,,,,,,,,,,Pending
21-Feb-26,T2611,Client Site,Electricity,High,Robin,22-Feb-26,3,,Done,,,,,,,,,,Pending
4-Feb-26,T2493,Workshop,Melanger,Normal,Robin,22-Feb-26,1,,Done,,,,,,,,,,
21-Feb-26,T2616,Client Site,KvdW Spirit,High,Walid,22-Feb-26,3,,Done,,,,,,,,,,Pending
21-Feb-26,T2530,48E Site,Training,High,Walid,22-Feb-26,2,,Done,,,,,,,,,,Done
,,,,,,,,,,,,,,,,,,,
21-Feb-26,T2606,Workshop,Kalerm B5,Normal,Abu Baker,23-Feb-26,0.75,,Done,,,,,,,,,,
21-Feb-26,T2610,Workshop,Kalerm B5,Normal,Abu Baker,23-Feb-26,0.75,,Done,,,,,,,,,,
22-Feb-26,T2617,Workshop,Kalerm,Normal,Abu Baker,23-Feb-26,0.75,,Done,,,,,,,,,,Done
22-Feb-26,T2620,Workshop,Kalerm,Normal,Abu Baker,23-Feb-26,0.75,,Done,,,,,,,,,,Done
22-Feb-26,T2621,Workshop,Kalerm,Normal,Abu Baker,23-Feb-26,0.75,,Done,,,,,,,,,,Done
19-Feb-26,T2592,Workshop,ECM,Normal,Abu Baker,23-Feb-26,1.5,,Done,,,,,,,,,,
18-Feb-26,T2590,Client Site,Giesen,Normal,"Robin, Abu Baker",23-Feb-26,3,,Done,,,,,,,,,,Done
22-Feb-26,T2619,Workshop,Baratza,Normal,Robin,23-Feb-26,1.5,,Done,,,,,,,,,,Done
21-Feb-26,T2622,Client Site,KvdW Spirit,High,Robin,23-Feb-26,4,,Done,,,,,,,,,,Done
11-Feb-26,T2530,Client Site,Site inspection,Normal,Walid,23-Feb-26,1,,Done,,,,,,,,,,Done
22-Feb-26,T2615,Client Site,Site inspection,Normal,Walid,23-Feb-26,1,,Done,,,,,,,,,,Done
22-Feb-26,T2624,Client Site,Eureka,Normal,Walid,23-Feb-26,1,,Done,,,,,,,,,,Done
22-Feb-26,T2618,48E Site,AC,Normal,Walid,23-Feb-26,0.25,,Done,,,,,,,,,,Done
23-Feb-26,T2633,Client Site,Kalerm Y,Normal,Walid,23-Feb-26,1.5,,Done,,,,,,,,,,Done
,,,,,,,,,,,,,,,,,,,
21-Feb-26,T2610,Workshop,Kalerm B5,Normal,Abu Baker,24-Feb-26,0.75,,Done,,,,,,,,,,
22-Feb-26,T2617,Workshop,Kalerm,Normal,Abu Baker,24-Feb-26,0.75,,Done,,,,,,,,,,
22-Feb-26,T2620,Workshop,Kalerm,Normal,Abu Baker,24-Feb-26,0.75,,Done,,,,,,,,,,
22-Feb-26,T2621,Workshop,Kalerm,Normal,Abu Baker,24-Feb-26,0.75,,Done,,,,,,,,,,
23-Feb-26,T2623,Workshop,Kalerm,Normal,Abu Baker,24-Feb-26,0.75,,Done,,,,,,,,,,
22-Feb-26,T2619,Workshop,Baratza,Normal,Robin,24-Feb-26,1.5,,Done,,,,,,,,,,
23-Feb-26,T2634,Workshop,ECM,High,Robin,24-Feb-26,2,,Done,,,,,,,,,,
23-Feb-26,T2626,Workshop,Fellow ODE,Normal,Robin,24-Feb-26,1,,Done,,,,,,,,,,
23-Feb-26,T2625,Workshop,Fellow Aiden,Normal,Robin,24-Feb-26,1,,Warranty,,,,,,,,,,
23-Feb-26,T2628,Workshop,Eureka Helios,Normal,Robin,24-Feb-26,1,,Done,,,,,,,,,,
24-Feb-26,T2635,Client Site,KvdW,High,Walid,24-Feb-26,3,,Done,,,,,,,,,,
21-Feb-26,T2614,Client Site,Giesen,High,Walid,24-Feb-26,3,,Done,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
23-Feb-26,T2631,Workshop,Kalerm,Normal,Abu Baker,25-Feb-26,0.75,,Done,,,,,,,,,,
23-Feb-26,T2634,Workshop,ECM,High,Abu Baker,25-Feb-26,3,,Done,,,,,,,,,,
24-Feb-26,T2637,Workshop,Kalerm,Normal,Abu Baker,25-Feb-26,0.75,,Done,,,,,,,,,,
24-Feb-26,T2638,Workshop,Baratza,Normal,Abu Baker,25-Feb-26,0.5,,Done,,,,,,,,,,
24-Feb-26,T2639,Workshop,Fellow,Normal,Abu Baker,25-Feb-26,0.5,,Done,,,,,,,,,,
16-Feb-26,T2565,Workshop,Baratza,Normal,Robin,25-Feb-26,1,,Done,,,,,,,,,,
18-Feb-26,T2586,Workshop,Baratza,Normal,Robin,25-Feb-26,1,,Done,,,,,,,,,,
16-Feb-26,T2569,Workshop,Baratza,Normal,Robin,25-Feb-26,1,,Done,,,,,,,,,,
15-Feb-26,T2555,Workshop,Baratza,Normal,Robin,25-Feb-26,1,,Done,,,,,,,,,,
16-Feb-26,T2566,Workshop,Baratza,Normal,Robin,25-Feb-26,1,,Done,,,,,,,,,,
16-Feb-26,T2567,Workshop,Baratza,Normal,Robin,25-Feb-26,1,,Done,,,,,,,,,,
25-Feb-26,T2648,Client Site,Eureka,Normal,Walid,25-Feb-26,0.75,,Done,,,,,,,,,,
25-Feb-26,T2647,Client Site,Weber EG-1,Normal,Walid,25-Feb-26,1,,Done,,,,,,,,,,
25-Feb-26,T2649,Client Site,Caye,Normal,Walid,25-Feb-26,0.5,,Done,,,,,,,,,,
25-Feb-26,T2650,Client Site,Weber EG-1,Normal,Walid,25-Feb-26,1,,Done,,,,,,,,,,
25-Feb-26,T2651,Client Site,Weber EG-1,Normal,Walid,25-Feb-26,1,,Done,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
24-Feb-26,T2641,Workshop,ECM,Normal,Robin,26-Feb-26,1.5,,Done,,,,,,,,,,
23-Feb-26,T2632,Workshop,ECM,Normal,Robin,26-Feb-26,1.5,,Done,,,,,,,,,,
23-Feb-26,T2627,Workshop,Baratza,Normal,Robin,26-Feb-26,1,,Done,,,,,,,,,,
26-Feb-26,T2657,48E Site,Cooler,Normal,Robin,26-Feb-26,1,,Done,,,,,,,,,,
24-Feb-26,T2642,Workshop,Baratza,Normal,Robin,26-Feb-26,1,,Waiting spare parts,,,,,,,,,,
25-Feb-26,T2644,Workshop,Kalerm,Normal,Abu Baker,26-Feb-26,1,,Done,,,,,,,,,,
25-Feb-26,T2646,Workshop,Kalerm,Normal,Abu Baker,26-Feb-26,1,,Done,,,,,,,,,,
26-Feb-26,T2658,48E Site,Caye,Normal,Walid,26-Feb-26,1,,Done,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
25-Feb-26,T2653,Workshop,Kalerm,Normal,Abu Baker,28-Feb-26,1,,Done,,,,,,,,,,
26-Feb-26,T2663,Workshop,Kalerm,Normal,Abu Baker,28-Feb-26,1,,Done,,,,,,,,,,
26-Feb-26,T2656,Workshop,Fellow,Normal,Robin,28-Feb-26,1.5,,Done,,,,,,,,,,
7-Feb-26,T2508,Workshop,Baratza,Normal,Robin,28-Feb-26,1,,Done,,,,,,,,,,
27-Feb-26,T2664,Client Site,3TEMP,Normal,Walid,28-Feb-26,1,,Done,,,,,,,,,,
27-Feb-26,T2665,Client Site,IB7,Normal,Walid,28-Feb-26,1.5,,Done,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
25-Feb-26,T2646,Workshop,Kalerm,Normal,Abu Baker,1-Mar-26,1,,Done,,,,,,,,,,
25-Feb-26,T2654,Workshop,Ovo,Normal,Abu Baker,1-Mar-26,1,,Done,,,,,,,,,,
26-Feb-26,T2661,Workshop,ECM,Normal,Abu Baker,1-Mar-26,2,,Done,,,,,,,,,,
26-Feb-26,T2662,Workshop,La Pavoni,Normal,Abu Baker,1-Mar-26,1,,Done,,,,,,,,,,
26-Feb-26,T2659,Workshop,Baratza,Normal,Robin,1-Mar-26,1,,Waiting spare parts,,,,,,,,,,
26-Feb-26,T2660,Workshop,Baratza,Normal,Robin,1-Mar-26,1,,Done,,,,,,,,,,
28-Feb-26,T2667,48E Site,Filling machine,Normal,Robin,1-Mar-26,1,,Done,,,,,,,,,,
28-Feb-26,T2669,48E Site,cabinet,Normal,Robin,1-Mar-26,0.5,,Done,,,,,,,,,,
28-Feb-26,T2671,Client Site,IB7,Normal,Robin,1-Mar-26,2,,Done,,,,,,,,,,
1-Mar-26,T2677,Client Site,KvdW,Normal,"Robin, Walid",1-Mar-26,2.5,,Done,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
28-Feb-26,T2668,Workshop,Mazzer,Normal,Abu Baker,2-Mar-26,1,,Done,,,,,,,,,,
1-Mar-26,T2672,Workshop,Kalerm,Normal,Abu Baker,2-Mar-26,1,,Done,,,,,,,,,,
1-Mar-26,T2673,Workshop,Baratza,Normal,Abu Baker,2-Mar-26,0.5,,Done,,,,,,,,,,
1-Mar-26,T2674,Workshop,Kalerm,Normal,Abu Baker,2-Mar-26,1,,Done,,,,,,,,,,
1-Mar-26,T2678,Workshop,Kalerm,Normal,Abu Baker,2-Mar-26,1,,Done,,,,,,,,,,
1-Mar-26,T2679,Workshop,Kalerm,Normal,Abu Baker,2-Mar-26,1,,Done,,,,,,,,,,
1-Mar-26,T2676,Workshop,Eureka,Normal,Robin,2-Mar-26,1,,Done,,,,,,,,,,
1-Mar-26,T2675,Workshop,Fellow,Normal,Robin,2-Mar-26,1,,Done,,,,,,,,,,
